"","County","Democrat vote raw","Democrat vote %","Republican vote raw","Republican vote %","Other vote raw","Other vote %","Less than 9th grade","9th to 12th grade","HS graduate and eq","College,No Degree","Associates Degree","Bachelors Degree","Graduate or professional degree","Gini Index","Median income","Mean income","Area","Density","Total Pop","Hispanic or Latino %","NH-White %","NH-Black %","NH-American Native %","NH-Asian %","NH-Native Pacific Islander %","NH-Other Race %","NH-Two or More Races %","% in Management, business, science, and arts","% in Service","% in Sales and Office","% in Resources and Construction","% in Transportation","Party"
"83","Gaines County",576,9.61,5355,89.32,64,1.07,28.7,10.9,33.1,10.6,6.3,8.2,2.2,0.4223,73299,89014,3891.1,5.53,21598,38.9,58.13,1.12,0.19,0.33,0.01,0.21,1.11,24.64,11.75,18.38,26.89,18.34,"Republican"
"84","Galveston County",58842,37.95,93911,60.56,2307,1.49,4.2,6,23.4,23.2,9.3,22.7,11.1,0.4584,83913,110116,982.67,356.99,350682,25.28,54.57,12.3,0.3,3.48,0.06,0.41,3.61,43.69,16.57,18.81,8.32,12.61,"Republican"
"85","Garza County",231,13.97,1413,85.48,9,0.54,15.6,14.5,32.8,21.3,2.6,7.5,5.7,0.402,56215,72497,2313.94,2.48,5816,56.26,37.17,3.95,0.48,0.43,0,0.17,1.53,38.09,18.41,15.04,8.42,20.04,"Republican"
"86","Gillespie County",3176,20.04,12514,78.97,156,0.98,6,5.3,25.2,20.5,7.8,22,13.2,0.4673,70162,99768,2740.73,9.83,26725,21.58,74.4,0.31,0.26,0.48,0,0.37,2.6,35.8,19.64,21.9,12.87,9.79,"Republican"
"87","Glasscock County",39,5.97,611,93.57,3,0.46,9.9,4.1,16.4,29.4,2.6,29.4,8.4,0.4416,112188,133127,2331.55,0.46,1116,34.68,63.62,0.72,0,0,0.27,0,0.72,43.63,1.73,9.5,33.91,11.23,"Republican"
"88","Goliad County",877,21.99,3085,77.36,26,0.65,8.9,6.7,31,24.7,10.9,13.1,4.8,0.5199,58125,91740,2206.7,3.21,7012,32.63,60.55,3.35,0.26,0.34,0,0.23,2.64,33.24,10.24,23.04,17,16.48,"Republican"
"89","Gonzales County",1948,25.47,5627,73.58,72,0.94,9.3,13.3,43.4,15,5.9,9.2,3.9,0.487,64255,87246,2762.7,7.14,19653,50.36,41.52,5.47,0.21,0.32,0.03,0.23,1.87,23.7,16.08,19.5,14.89,25.83,"Republican"
"90","Gray County",829,10.65,6840,87.9,113,1.45,8.6,9.8,32.3,24.4,8.8,12.3,3.8,0.4891,54563,77997,2398.26,8.87,21227,29.9,61.36,3.93,0.66,0.6,0,0.17,3.37,29.62,17.08,21.67,16.85,14.79,"Republican"
"91","Grayson County",14506,24.4,44163,74.3,770,1.3,3.9,5.7,30.2,26.5,11,15.2,7.6,0.4466,66608,88868,2416.02,56.71,135543,15.4,70.24,5.49,1.38,1.44,0.04,0.26,5.74,31.14,17.7,24.06,10.92,16.19,"Republican"
"92","Gregg County",14796,30.84,32493,67.72,693,1.44,5.7,7.9,28.7,26.5,8.8,15.2,7.2,0.4581,63811,84850,708.05,175.47,124239,19.35,54.77,20.1,0.34,1.3,0.04,0.24,3.86,31.9,16.44,22.8,10.75,18.12,"Republican"
"93","Grimes County",2833,22.82,9432,75.98,148,1.19,7,12.2,31.2,23.1,7,12,7.4,0.454,63484,84809,2039.53,14.44,29268,25.15,57.78,13.07,0.29,0.35,0.03,0.29,3.05,36.14,14.52,21.47,13.57,14.31,"Republican"
"94","Guadalupe County",28805,37.12,47553,61.29,1234,1.59,4.5,6.4,29.5,20.8,9.2,19.6,9.9,0.3926,88111,104433,1842.13,94.36,172706,37.77,48.67,6.92,0.28,1.78,0.2,0.45,3.93,35.68,15.82,23.09,9.8,15.62,"Republican"
"95","Hale County",2279,23.78,7177,74.89,128,1.34,13.8,11.4,33,20.2,6.8,9.2,5.6,0.4464,50721,67058,2602.11,12.5,32522,59.93,32.88,4.25,0.3,0.46,0.09,0.21,1.88,28.25,18.97,21.19,13.11,18.48,"Republican"
"96","Hall County",168,14.38,995,85.19,5,0.43,6.7,11.5,33.6,18.9,11.2,14,4.2,0.4906,43873,66562,2288.23,1.24,2825,33.63,56.25,6.73,0.25,0.32,0,0.11,2.73,33.02,20.07,16.3,15.95,14.67,"Republican"
"97","Hamilton County",641,14.74,3616,83.15,92,2.12,4,6.6,35.9,19.7,8.7,17.9,7.2,0.5453,54890,88744,2165.01,3.81,8222,12.71,82.77,0.39,0.45,0.44,0.02,0.21,3.02,31.29,19.6,21.95,11.75,15.41,"Republican"
"98","Hansford County",166,8.11,1849,90.33,32,1.56,12.6,15.2,22.3,15.1,5.1,24.8,4.8,0.4023,62350,77865,2382.3,2.21,5285,49.48,48.29,0.23,0.3,0.17,0.06,0.34,1.14,39.96,18.81,19.34,15.72,6.17,"Republican"
"99","Hardeman County",241,15.25,1330,84.18,9,0.57,5.1,9.9,34.2,25.2,8.1,13.2,4.2,0.4068,60455,73097,1800.34,1.97,3549,23.05,68.78,3.66,0.39,0.51,0.03,0.2,3.38,30.5,16.24,17.18,13.87,22.21,"Republican"
"100","Hardin County",3474,12.57,23858,86.33,303,1.1,3,8.1,38.6,23.3,8.5,14.1,4.3,0.4275,70164,87881,2306.58,24.53,56231,6.08,83.47,5.4,0.34,0.71,0.06,0.26,3.68,34.02,15.97,21.68,11.04,17.28,"Republican"
"101","Harris County",918193,55.96,700630,42.7,21995,1.34,10.4,7.5,22.9,19,7.1,20.8,12.4,0.4973,70789,104780,4421.15,1068.99,4731145,43.01,27.68,18.72,0.18,7.29,0.07,0.49,2.57,38.05,16.52,20.45,11.44,13.53,"Democrat"
"102","Harrison County",7908,26.62,21466,72.25,336,1.13,3.4,7.2,32.8,25.8,8.6,15.1,7.1,0.4695,63427,81428,2331.14,29.64,68839,14.29,61.07,19.54,0.43,0.7,0.04,0.39,3.55,32,16.89,20.03,13.66,17.42,"Republican"
"103","Hartley County",195,9.38,1868,89.89,15,0.72,7.8,8.1,35.2,17.9,5.8,14.5,10.7,0.3923,78065,98638,3786.44,1.42,5382,30.3,63.23,3.55,0.28,0.45,0.09,0.02,2.08,43.64,9.55,27.08,9.5,10.23,"Republican"
"104","Haskell County",353,15.94,1840,83.11,21,0.95,8.3,12.2,36,18.2,5.2,11.9,8.3,0.5575,52786,91530,2339.1,2.31,5416,25.42,66.99,3.34,0.52,0.41,0.09,0.44,2.79,31.41,25.15,18.72,15.95,8.77,"Republican"
"105","Hays County",59524,54.43,47680,43.6,2153,1.97,4.4,4.7,22.3,21.7,6.6,26.3,14.1,0.4521,79990,104935,1753.04,139.96,241067,38.52,50.43,3.74,0.25,2,0.06,0.42,4.58,41.66,16.14,22.58,9.12,10.5,"Democrat"
"106","Hemphill County",206,11.98,1486,86.4,28,1.63,7.1,4.2,35.4,20.8,9.2,18.1,5.2,0.4816,67798,100738,2347.27,1.44,3382,33.62,61.8,0.12,0.53,0.3,0,0.12,3.52,30.04,15.63,15.63,29.92,8.78,"Republican"
"107","Henderson County",7060,19.44,28911,79.62,339,0.93,4.6,8.7,33.8,25.6,8.2,13.1,5.9,0.4756,59778,81990,2263.06,36.51,82150,13.68,75.29,5.73,0.5,0.62,0.04,0.26,3.87,31.61,19.66,20.25,12.66,15.82,"Republican"
"108","Hidalgo County",128199,58.04,90527,40.98,2158,0.98,18.4,13,24.8,18.3,5.3,14,6.1,0.478,49371,68145,4069.38,214.57,870781,91.87,6.13,0.39,0.07,0.99,0.01,0.22,0.33,28.28,22.69,22.09,14.16,12.77,"Democrat"
"109","Hill County",2860,19.15,11926,79.87,145,0.97,5.7,8.7,34.2,23.7,10.1,12,5.5,0.4414,60669,78273,2483.43,14.55,35874,21.98,67.24,5.73,0.38,0.52,0.04,0.24,3.86,26.51,16.63,21.17,15.27,20.42,"Republican"
"110","Hockley County",1482,18.31,6536,80.74,77,0.95,9.8,10.7,28.8,24,9.6,11.3,5.9,0.4424,53283,73311,2352.72,9.14,21537,49.33,45.28,2.62,0.38,0.23,0.02,0.27,1.87,33.95,16.26,16.9,16.27,16.64,"Republican"
"111","Hood County",5648,17.36,26496,81.42,397,1.22,2.7,5,28,25.2,7.6,21.4,10.3,0.4556,80013,103961,1089.71,57.32,61598,12.92,80.87,0.8,0.55,0.76,0.09,0.29,3.72,38.02,13.04,20.74,10.12,18.07,"Republican"
"112","Hopkins County",3046,19.11,12719,79.8,174,1.09,5.5,9.6,34.5,21.5,7.3,14.8,6.7,0.4616,63766,84614,1987.64,18.62,36787,17.63,70.61,6.45,0.54,0.75,0.01,0.23,3.78,31.69,13.21,20.07,14.44,20.59,"Republican"
"113","Houston County",2314,24.52,7060,74.81,63,0.67,6,11.6,39.2,21.1,7.3,10.5,4.2,0.4761,51043,71244,3188.27,6.93,22066,13.92,58.72,23.4,0.43,0.63,0.04,0.26,2.61,31.72,23.16,19.78,9.37,15.98,"Republican"
"114","Howard County",2069,20.21,8054,78.65,117,1.14,8.1,10.9,34.7,25,7.5,9.4,4.4,0.4397,67243,86876,2333.04,14.78,34860,46.4,44.96,4.36,0.61,1.11,0.03,0.2,2.34,30.52,19.79,16.89,16.47,16.33,"Republican"
"115","Hudspeth County",371,31.85,779,66.87,15,1.29,27.9,17.2,25.3,15.2,4.1,9.5,0.9,0.4107,35163,45286,11837.58,0.28,3202,63.59,34.17,0.19,0.19,0.31,0,0.22,1.34,19.57,24.84,18.32,24.53,12.73,"Republican"
"116","Hunt County",8906,23.09,29163,75.6,505,1.31,3.9,8.4,35.1,24,7.3,14.6,6.7,0.4305,66885,84800,2176.68,46.67,99956,19.68,65.63,7.82,0.72,0.98,0.15,0.3,4.72,32.12,18.82,21.01,12.31,15.73,"Republican"
"117","Hutchinson County",965,11,7681,87.57,125,1.43,5.4,8.7,33,27.5,9.8,11.4,4.2,0.419,62211,79929,2298.42,8.96,20617,24.06,66.85,2.02,1.32,0.51,0.01,0.25,4.97,28.16,14.95,17.75,16.42,22.72,"Republican"
"118","Irion County",120,13.5,759,85.38,10,1.12,6.7,4.5,24.1,36.5,9.8,16.2,2.1,0.3913,54708,68513,2723.49,0.57,1513,23.07,73.5,0.4,0.59,0,0.07,0.07,2.31,20.34,17.5,21.76,21.05,19.35,"Republican"
"119","Jack County",331,8.75,3418,90.38,33,0.87,6.6,13.8,32.9,24.3,6.9,11.6,3.9,0.4811,58861,78534,2359.41,3.64,8472,17.95,75.05,3.47,0.41,0.48,0.06,0.11,2.47,24.68,18.76,22.03,17.21,17.31,"Republican"
"120","Jackson County",1033,16.29,5231,82.51,76,1.2,9.2,10.2,34.6,24.9,8,10.5,2.5,0.4012,67176,82005,2148.25,6.99,14988,32.22,56.78,6.25,0.24,1.05,0.03,0.68,2.74,26.89,15.49,16.32,20.68,20.62,"Republican"
"121","Jasper County",2954,18.93,12542,80.36,112,0.72,3.5,9.3,47.2,20.7,7.1,8.4,3.8,0.5113,48818,75809,2431.11,13.59,32980,6.66,72.15,16.9,0.39,0.35,0.05,0.22,3.29,30.28,21.66,18.43,14.9,14.73,"Republican"
"122","Jeff Davis County",501,38.39,784,60.08,20,1.53,9.7,4.6,19.3,30.1,8.4,12.5,15.4,0.5373,38125,71740,5865.17,0.34,1996,30.71,64.23,0,0.3,0.7,0,0.75,3.31,44.52,19.52,17.25,13.24,5.48,"Republican"
"123","Jefferson County",46073,48.63,47570,50.21,1096,1.16,7.3,7.9,31.7,23.8,9.3,13.9,6.1,0.4796,57294,81574,2270.73,112.27,256526,22.97,37.44,32.69,0.24,3.88,0.03,0.34,2.42,30.06,20.52,21.11,13.38,14.92,"Republican"
"124","Jim Hogg County",1197,58.79,833,40.91,6,0.29,9.1,12.3,42.7,21.2,2,8.6,4.2,0.4161,42292,59372,2942.67,1.64,4838,88.49,8.56,0.1,0.31,0.54,0.1,0.17,1.74,16.94,17.08,20,22.34,23.64,"Democrat"
"125","Jim Wells County",6119,44.77,7453,54.52,97,0.71,8.6,13.1,36.5,20.4,6,12,3.2,0.4738,46626,69066,2240.8,17.43,38891,79.29,17.9,0.46,0.15,0.36,0.04,0.24,1.56,28.98,18.95,21.65,16.91,13.5,"Republican"
"126","Johnson County",16464,22.87,54628,75.87,913,1.27,4.9,8.8,34.6,22.9,7.5,14.8,6.5,0.404,77058,94395,1877.87,97.29,179927,23.68,66.26,3.58,0.47,0.96,0.52,0.34,4.19,30.51,14.37,18.82,10.57,25.74,"Republican"
"127","Jones County",999,14.82,5660,83.96,82,1.22,5.5,13.7,38.7,22.9,8.1,8.8,2.4,0.405,59361,70243,2405.08,8.22,19663,27.99,58.41,10.06,0.34,0.56,0.02,0.21,2.41,26.03,22.56,19.38,17.2,14.82,"Republican"
"128","Karnes County",1234,23.51,3968,75.6,47,0.9,8.9,15,37,16.8,6,11.4,4.8,0.5127,57798,86219,1936.67,7.64,14710,52.58,36.63,7.59,0.18,0.99,0.01,0.41,1.62,26.92,26.18,22.39,15.54,8.97,"Republican"
"129","Kaufman County",18405,32.46,37624,66.35,674,1.19,5.2,8.4,29.1,24.5,8.9,17,6.8,0.3931,84075,99652,2021.98,74.07,145310,24.89,54.11,14.82,0.43,1.45,0.05,0.3,3.95,36.68,16.23,22.01,10.84,14.23,"Republican"
"130","Kendall County",6020,22.77,20083,75.96,335,1.27,4.1,3.4,15.4,21.2,7.4,30.9,17.6,0.4806,104196,152380,1715.75,26.45,44279,22.65,71.74,0.71,0.31,0.8,0.08,0.46,3.25,49.59,13.2,22.42,8.99,5.8,"Republican"
"131","Kenedy County",65,33.51,127,65.46,2,1.03,47.1,19.5,21.8,3.4,0,5.7,2.3,0.3038,45455,56413,3777.66,0.03,350,74.57,20.86,0,2,0,0.29,0.57,1.71,23.91,8.7,6.52,30.43,30.43,"Republican"
"132","Kent County",47,10.17,411,88.96,4,0.87,4.6,6.9,29,26.8,4.9,14.2,13.7,0.3834,68553,77335,2337.48,0.27,753,10.76,87.25,0.27,0.4,0,0,0.4,0.93,42.49,12.44,11.92,25.91,7.25,"Republican"
"133","Kerr County",6524,23.51,20879,75.25,342,1.23,4.3,6,28.8,23.6,7.6,18.4,11.4,0.4571,66713,91321,2857.62,18.48,52598,25.85,68.05,1.31,0.3,1.1,0.07,0.36,2.97,35.58,20.35,22.11,11.6,10.36,"Republican"
"134","Kimble County",284,12.39,1987,86.69,21,0.92,5.4,9.4,27.9,25,4.5,18.9,8.9,0.5235,62386,94800,3240.02,1.33,4286,23.01,73.17,0.19,0.33,0.77,0.07,0.19,2.29,32.79,17.66,23.04,18.85,7.66,"Republican"
"135","King County",8,5.03,151,94.97,0,0,18.1,3.1,33.1,15,0,25.6,5,0.4723,59375,67984,2359.15,0.09,265,9.43,86.79,0,0,0,1.51,0,2.26,37.65,16.47,18.82,23.53,3.53,"Republican"
"136","Kinney County",446,27.82,1144,71.37,13,0.81,8.6,6.8,24.5,39.6,7.2,6.9,6.4,0.404,52386,64114,3523.77,0.9,3129,46.98,47.59,1.15,0.67,0.32,0.06,0.48,2.75,35.69,25.8,9.89,6.77,21.84,"Republican"
"137","Kleberg County",5314,48.56,5504,50.29,126,1.15,9.4,8.2,34.7,19.5,5.2,14.9,8.1,0.4767,52487,67464,2282.57,13.52,31040,70.62,21.68,3.21,0.27,2.53,0,0.31,1.39,30.55,21.37,21.36,12.76,13.95,"Republican"
"138","Knox County",265,18.2,1180,81.04,11,0.76,9.9,8.3,33.1,26,8.6,8.4,5.7,0.4346,48750,64145,2203.1,1.51,3353,33.7,57.71,4.35,0.24,0.72,0.09,0.15,3.04,23.08,14.07,24.81,21.34,16.7,"Republican"
"139","La Salle County",1052,43.72,1335,55.49,19,0.79,13.9,23.7,43.6,11.1,2.3,3.2,2.2,0.3767,62798,63787,3850.55,1.81,6664,73.65,22.01,3.32,0.05,0.06,0,0.08,0.84,13.2,31.28,13.47,32.78,9.27,"Republican"
"140","Lamar County",4458,20.81,16760,78.25,200,0.93,5.2,7.2,33.7,23.2,9.8,13.9,7,0.4589,58246,73449,2349.98,21.34,50088,8.81,70.58,12.73,1.5,0.95,0.05,0.24,5.14,31.37,17.6,19.89,13.11,18.03,"Republican"
"141","Lamb County",840,19.06,3521,79.88,47,1.07,12.9,10.4,36.9,19.3,7.6,9.8,3.1,0.4368,54519,70219,2631.9,4.95,13045,57.1,38.18,3,0.11,0.03,0.04,0.18,1.34,31.8,15.21,16.29,17.8,18.9,"Republican"
"142","Lampasas County",2144,20.62,8086,77.76,169,1.63,4.4,5.3,30.4,28.4,11.3,14.1,6.1,0.4086,73269,89550,1845.44,11.83,21627,19.32,69.97,3.24,0.53,1.12,0.4,0.46,4.96,33.78,19.98,21.76,11.33,13.15,"Republican"
"143","Lavaca County",1333,13.07,8804,86.34,60,0.59,8.1,6.5,37.7,20.7,7.4,13.8,5.8,0.4544,58530,83239,2511.54,8.11,20337,19.35,71.61,5.77,0.15,0.36,0.02,0.15,2.58,35.12,13.73,19.34,12.82,19,"Republican"
"144","Lee County",1750,21.64,6255,77.36,81,1,6.3,7.2,39.3,23.3,7.4,11.8,4.8,0.4071,66448,76825,1629.2,10.77,17478,25.63,60.72,9.33,0.27,0.33,0.01,0.21,3.51,33.25,15.71,19.45,15.64,15.96,"Republican"
"145","Leon County",1072,12.36,7523,86.73,79,0.91,6.3,9.1,38.8,25,5.8,10.5,4.5,0.4882,57363,83691,2779.46,5.73,15719,15.56,74.17,5.86,0.34,0.71,0.04,0.3,3.02,28.07,21.17,21.93,15.48,13.35,"Republican"
"146","Liberty County",5785,19.72,23302,79.44,247,0.84,9.6,12,39.3,21.9,6.6,7.7,2.8,0.4519,59605,80392,3000.12,31.17,91628,33.61,54.62,7.67,0.32,0.51,0.01,0.36,2.91,23.73,15.44,19.13,22.3,19.4,"Republican"
"147","Limestone County",2213,24.33,6789,74.65,93,1.02,6.5,8.9,34.7,24.1,8.8,12,4.8,0.4418,53102,68452,2345.05,9.48,22146,22.64,56.58,16.42,0.33,0.72,0.08,0.27,2.97,25.23,21.04,16.88,17.16,19.7,"Republican"
"148","Lipscomb County",131,9.68,1205,89.06,17,1.26,8.5,6.4,31.4,21.8,7.1,20.2,4.5,0.4414,71625,89221,2414.42,1.26,3059,36.71,58.39,0.13,0.95,0.07,0,0.13,3.63,35.93,15.96,15.01,15.16,17.93,"Republican"
"149","Live Oak County",819,16.2,4199,83.08,36,0.71,10.2,14.4,30,27,4.8,7.6,5.9,0.4735,55949,75029,2692.8,4.22,11335,42.26,52.65,1.81,0.43,0.31,0.03,0.4,2.12,30.71,13.43,22.2,20.75,12.91,"Republican"
"150","Llano County",2465,19.47,10079,79.61,116,0.92,2.4,6.1,26.6,25.9,7.2,22.2,9.6,0.5296,64241,107193,2419.22,8.94,21243,11.81,82.52,0.46,0.54,0.57,0.02,0.29,3.8,34.65,15.31,25.62,11.22,13.2,"Republican"
"151","Loving County",4,6.06,60,90.91,2,3.03,0,3.2,15.9,30.2,50.8,0,0,0.532,NA,97491,1732.23,0.06,64,1.56,87.5,0,1.56,0,0,1.56,7.81,53.85,0,12.82,0,33.33,"Republican"
"152","Lubbock County",40017,33.13,78861,65.3,1893,1.57,4.9,6.8,25.4,22.6,7.7,20,12.6,0.4811,61911,85341,2319.6,134.29,310639,35.14,49.9,8.26,0.46,3.05,0.06,0.31,2.81,39.71,17.42,22.71,8.75,11.42,"Republican"
"153","Lynn County",428,18.67,1853,80.81,12,0.52,8.1,10.5,28.7,20.1,8,17.2,7.4,0.4785,52996,81171,2309.92,2.43,5596,42.03,52.89,1.88,0.27,0.18,0.07,0.21,2.47,39.98,18.12,17.72,15.4,8.78,"Republican"
"154","Madison County",1088,20.54,4169,78.7,40,0.76,4.9,16.2,37.5,21.4,5.9,10.2,3.9,0.4083,65768,76169,1207.1,11.23,13455,25.38,51.91,19.23,0.36,0.75,0,0.08,2.3,24.56,16.27,23.68,19.22,16.27,"Republican"
"155","Marion County",1339,27.53,3470,71.34,55,1.13,3.6,9.6,40.5,21.6,8.4,13.5,2.8,0.4542,48040,63070,986.53,9.8,9725,4,70.63,18.98,0.71,0.49,0,0.46,4.72,26.64,18.7,24.87,10.67,19.13,"Republican"
"156","Martin County",288,13.33,1857,85.97,15,0.69,9.9,5.9,40.2,25,2.1,9.7,7.2,0.4717,70217,97852,2369.72,2.21,5237,43.06,53.08,1.55,0.42,0.17,0.02,0.36,1.34,31.42,9.75,18.27,16,24.56,"Republican"
"157","Mason County",457,18.47,1991,80.48,26,1.05,6.6,8.5,21.5,20.8,4.7,26.1,11.9,0.4553,77583,93741,2405.67,1.65,3953,22.34,74.58,0.1,0,0.05,0,0.4,2.53,42.48,12.34,29.83,9.58,5.77,"Republican"
"158","Matagorda County",3733,27.2,9845,71.73,148,1.08,9.9,8.6,28.4,24,8.2,14,6.9,0.4707,56412,73260,2831.17,12.8,36255,42.63,42.35,10.3,0.27,1.93,0.02,0.28,2.21,27.54,17.1,14.97,21.64,18.75,"Republican"
"159","Maverick County",8332,54.29,6881,44.84,133,0.87,19.8,15.6,26.4,16.5,5.9,11.6,4.2,0.4605,48497,65116,3313.83,17.44,57887,94.9,2.72,0.22,1.44,0.31,0.01,0.19,0.2,24.18,28.69,17.98,12.88,16.27,"Democrat"
"160","McCulloch County",490,14.26,2904,84.52,42,1.22,9.8,10.3,31.5,24.4,5.5,12.7,5.8,0.4321,53214,68736,2759.89,2.77,7630,31.05,64.27,1.21,0.09,0.51,0,0.16,2.71,31.77,22.67,16.22,12.99,16.34,"Republican"
"161","McLennan County",36688,37.52,59543,60.9,1540,1.58,5.1,7.9,26.9,22.8,10.2,16.4,10.5,0.4764,59781,82845,2685.02,97.24,260579,26.32,53.61,13.87,0.35,1.87,0.06,0.41,3.52,34.82,16.57,21.8,10.27,16.53,"Republican"
"162","McMullen County",53,10.27,460,89.15,3,0.58,4.6,6.5,45.1,20.4,7.6,11.8,3.9,0.4952,60313,80275,2952.07,0.23,600,37.33,58.83,0.17,0.17,0.5,0.83,0,2.17,36.03,28.34,7.29,17,11.34,"Republican"
"163","Medina County",6773,29.91,15642,69.08,229,1.01,5.6,8.3,32.6,22.2,9,13.3,8.9,0.422,73060,91847,3432.67,14.98,50748,50.16,43.99,2.47,0.31,0.42,0.07,0.37,2.2,35.61,15.55,21.85,14.1,12.89,"Republican"
"164","Menard County",197,19.16,823,80.06,8,0.78,8.9,13.2,25.8,20.1,8.1,15,8.9,0.5231,40945,63484,2336.24,0.84,1962,33.74,62.74,0.61,0.36,0.25,0.15,0.41,1.73,30.08,16.26,21.27,12.74,19.65,"Republican"
"165","Midland County",12329,20.95,45624,77.52,903,1.53,7.5,8.1,23.2,23.8,8,20.6,8.9,0.4703,90123,122370,2331.92,72.64,169983,43.14,45,6.16,0.4,2.29,0.09,0.37,2.56,38.23,12.62,22.22,14.21,12.73,"Republican"
"166","Milam County",2496,23.6,7984,75.49,96,0.91,6.9,7.3,39,21.1,7.4,12.6,5.7,0.4701,56985,80180,2632.35,9.53,24754,25.31,62.08,8.47,0.27,0.45,0.04,0.34,3.04,31.63,14.68,22.57,18.99,12.13,"Republican"
"167","Mills County",271,10.82,2217,88.5,17,0.68,5.4,6.7,31.4,21.5,6.5,18.5,9.9,0.4742,59315,86246,1937.89,2.32,4456,16.34,78.5,0.56,0.22,0.09,0,0.13,4.15,37.06,19.05,14.76,18.75,10.38,"Republican"
"168","Mitchell County",397,15.39,2170,84.14,12,0.47,7,9.2,41,27.6,5.6,7.2,2.4,0.4642,49869,80812,2359.72,3.79,8990,38.42,48.14,10.29,0.38,0.6,0.01,0.12,2.04,21.86,33.59,17.52,16.81,10.23,"Republican"
