"","County","Democrat vote raw","Democrat vote %","Republican vote raw","Republican vote %","Other vote raw","Other vote %","Less than 9th grade","9th to 12th grade","HS graduate and eq","College,No Degree","Associates Degree","Bachelors Degree","Graduate or professional degree","Gini Index","Median income","Mean income","Area","Density","Total Pop","Hispanic or Latino %","NH-White %","NH-Black %","NH-American Native %","NH-Asian %","NH-Native Pacific Islander %","NH-Other Race %","NH-Two or More Races %","% in Management, business, science, and arts","% in Service","% in Sales and Office","% in Resources and Construction","% in Transportation","Party"
"169","Montague County",1097,11.18,8615,87.78,102,1.04,4.7,7.4,38.6,24.6,8.1,12.8,3.9,0.416,63336,78500,2411.03,8.38,19965,11.83,81.85,0.37,0.78,0.42,0.02,0.17,4.57,24.57,18.74,23.7,17.93,15.07,"Republican"
"170","Montgomery County",74377,27.4,193382,71.24,3692,1.36,4.3,5.9,22.9,21.5,7.7,25,12.8,0.4706,95946,133619,2699.05,233.41,620443,26.45,59.86,5.51,0.3,3.45,0.1,0.41,3.92,42.6,14.13,21.51,10.24,11.52,"Republican"
"171","Moore County",1062,19.28,4359,79.14,87,1.58,21.4,10.7,31.1,17.5,7.5,7.9,3.9,0.4123,59041,77084,2330.21,9.13,21358,59.21,30.43,3.06,0.45,4.6,0,0.39,1.85,25.18,13.84,15.86,15.83,29.29,"Republican"
"172","Morris County",1669,29.87,3872,69.3,46,0.82,4.4,8,39.7,27.4,7,7.9,5.7,0.3968,51532,62261,652.65,18.38,11973,9.87,64.45,20.45,0.58,0.29,0.08,0.25,4.03,29.3,20.37,20.6,8.31,21.42,"Republican"
"173","Motley County",46,7.06,604,92.64,2,0.31,4.5,9.6,31.2,27.3,7.2,15.2,5.2,0.3845,66528,71800,2562.96,0.48,1063,14.39,80.71,0.66,0,0,0,0.19,4.05,32.49,15.57,20.47,23.86,7.61,"Republican"
"174","Nacogdoches County",9000,33.63,17378,64.93,385,1.44,7.4,7.5,29.3,24.5,5.9,15.9,9.4,0.5024,51153,72697,2450.97,26.43,64653,21.03,57.47,16.34,0.3,1.18,0.02,0.29,3.37,30.82,18.8,23.54,12.82,14.02,"Republican"
"175","Navarro County",5101,26.68,13800,72.17,220,1.15,9.9,9.6,30.3,24.4,8.8,11.4,5.6,0.4572,56261,76660,2615.12,20.2,52624,30.5,51.3,11.95,0.31,0.75,1.39,0.26,3.55,27.21,17.49,18.32,12.9,24.08,"Republican"
"176","Newton County",1173,19.25,4882,80.11,39,0.64,4.5,13.5,45.7,22.7,6.7,4.9,1.9,0.4857,38871,58462,2418.21,5.1,12217,2.82,75.71,16.98,0.48,0.2,0,0.22,3.59,25.17,19.21,20.21,17.45,17.95,"Republican"
"177","Nolan County",1162,21.7,4131,77.13,63,1.18,6.9,9.3,34.6,25.4,10,9.2,4.8,0.5192,47437,75043,2362.06,6.21,14738,36.33,55.22,4.24,0.36,0.7,0.01,0.21,2.93,24.89,23.14,18.25,15.16,18.55,"Republican"
"178","Nueces County",60925,47.85,64617,50.75,1772,1.39,6.6,8.9,29.2,23.7,9.1,14.4,8.1,0.4622,64027,85253,2173.64,162.51,353178,61.46,30.06,3.58,0.26,2.18,0.08,0.36,2.02,32.67,20.28,21.34,13.47,12.24,"Republican"
"179","Ochiltree County",302,9.57,2812,89.1,42,1.33,12.4,11.3,33.5,19,5.2,12.3,6.3,0.4158,62240,80514,2376.79,4.18,10015,54.62,42.39,0.14,0.31,0.28,0.02,0.21,2.04,23.59,13.28,16.29,28.18,18.67,"Republican"
"180","Oldham County",81,8.03,917,90.88,11,1.09,9.4,7.1,27,21.9,10.8,17.2,6.7,0.4288,71103,89702,3886.34,0.56,1758,17.8,75.37,1.88,0.34,0.57,0,0,4.04,39.34,17.69,14.51,16.21,12.24,"Republican"
"181","Orange County",6357,17.66,29186,81.09,451,1.25,2.5,8.2,35.8,24.8,11.6,12.8,4.3,0.4396,71910,93395,864.5,98.05,84808,8.57,76.57,9.41,0.4,1.31,0.02,0.23,3.5,32.87,13.68,20.84,15.54,17.07,"Republican"
"182","Palo Pinto County",2178,17.44,10179,81.53,128,1.03,5.1,7.4,39.2,22.5,7.7,11.9,6.1,0.4521,65242,84036,2467.09,11.58,28409,19.76,73.14,1.94,0.52,0.74,0.04,0.24,3.6,30.46,16.5,21.31,14.09,17.65,"Republican"
"183","Panola County",2057,17.96,9326,81.44,68,0.59,4.5,11.8,29.1,29.2,9.2,11.7,4.4,0.4854,58205,84446,2101.4,10.73,22491,9.74,71.58,14.42,0.43,0.44,0.03,0.12,3.25,27.77,18.47,17.77,14.44,21.55,"Republican"
"184","Parker County",13017,17.1,62045,81.5,1066,1.4,3.4,6.3,26.9,22.5,10,20.2,10.7,0.43,95721,120085,2340.62,64.59,148222,13.37,79.44,1.1,0.59,0.67,0.07,0.32,4.44,40.4,15.95,20.69,10.74,12.22,"Republican"
"185","Parmer County",488,18.42,2135,80.57,27,1.02,19,9.9,24.9,18.5,9.2,13.7,4.7,0.3955,65575,83695,2281.32,4.3,9869,65.9,32.29,0.54,0.11,0.14,0,0.4,0.62,27.61,16.21,14.94,22.5,18.74,"Republican"
"186","Pecos County",1382,29.61,3215,68.87,71,1.52,10.3,13.8,36.7,22.6,5.2,6.9,4.5,0.4911,59325,85884,12338.27,1.22,15193,71.38,22.86,3.32,0.22,0.94,0,0.23,1.05,24.72,20.13,20.44,22.1,12.6,"Republican"
"187","Polk County",5387,22.28,18573,76.81,221,0.91,6.8,11.8,37.3,24.7,6.2,8.8,4.4,0.4421,57315,74127,2737.73,18.46,50123,14.65,69.45,9.71,1.82,0.68,0,0.27,3.42,26.24,16.27,22.18,17.26,18.05,"Republican"
"188","Potter County",9921,29.77,22820,68.49,580,1.74,11.2,11.7,30.9,21.7,7.6,11.9,5.1,0.4908,47974,70497,2352.72,50.11,118525,38.13,42.31,10.12,0.54,5.09,0.02,0.52,3.27,26.58,23.21,18.57,13.27,18.37,"Republican"
"189","Presidio County",1463,65.99,721,32.52,33,1.49,31.6,6.7,17.6,14.4,8.4,15,6.2,0.5855,29012,59503,9985.06,0.62,6131,81.41,15.67,0.41,0.26,1.39,0,0.15,0.72,43.32,8.57,14.78,26.54,6.78,"Democrat"
"190","Rains County",842,13.91,5155,85.16,56,0.93,5.7,6.9,35.9,24.8,6.2,14.6,5.9,0.4783,60291,91470,594.38,20.62,12164,9.12,83.28,2.17,0.7,0.45,0.01,0.27,4,37.73,13.71,20.78,12.54,15.24,"Republican"
"191","Randall County",12802,19.79,50796,78.54,1076,1.66,2.2,4,23.4,27.7,10.1,21.7,11,0.4337,78038,99601,2363.91,59.85,140753,22.44,67.82,3.24,0.56,1.85,0.04,0.29,3.75,39.38,16.92,22.25,9.34,12.11,"Republican"
"192","Reagan County",172,15.3,942,83.81,10,0.89,1.5,10.4,52.8,17.2,6.1,7.3,4.7,0.3645,70319,83863,3044.05,1.09,3385,67.44,28.6,0.97,0.35,0.56,0.03,0.18,1.86,34.42,8.92,10.9,24.22,21.54,"Republican"
"193","Real County",320,16.15,1643,82.9,19,0.96,7.2,3.8,36.9,26.6,4.6,16.1,4.9,0.4783,46842,72231,1810.81,1.56,2758,25.09,70.34,0.8,0.29,0.44,0.11,0.07,2.86,25.82,25.43,27.14,11.46,10.14,"Republican"
"194","Red River County",1246,21.46,4517,77.8,43,0.74,5.4,9.5,40,24.2,6.9,9.3,4.7,0.451,44583,58759,2703.68,4.3,11587,6.61,73.35,15,0.88,0.44,0,0.11,3.61,24.51,18.34,19.68,18.67,18.8,"Republican"
"195","Reeves County",1395,37.84,2254,61.13,38,1.03,13.7,15.5,36.2,18.2,6.6,7.8,2,0.4448,57487,74058,6825.53,2.05,14748,84.83,11.51,1.52,0.18,1.12,0.02,0.26,0.56,17.17,17.8,16.73,29,19.3,"Republican"
"196","Refugio County",1108,32.92,2210,65.66,48,1.43,5.8,10.4,43.7,22.5,6.4,8.2,3,0.46,54304,67596,1995.55,3.37,6741,49.04,42.49,5.93,0.27,0.4,0,0.18,1.69,19.29,26.75,24.95,14.35,14.66,"Republican"
"197","Roberts County",17,3.09,529,96.18,4,0.73,0,8.2,37.7,21.6,13.2,14.2,5,0.3783,62667,77618,2393.3,0.32,827,6.05,86.7,0.24,0.24,0,0,0.12,6.65,40.2,9.55,23.12,10.8,16.33,"Republican"
"198","Robertson County",2374,29.31,5646,69.71,79,0.98,5.2,9.5,38.4,20.2,8.4,12.6,5.8,0.4615,59410,79074,2214.84,7.64,16757,21.05,56.72,18.47,0.17,0.62,0.13,0.22,2.61,26.26,25.13,18.91,14.22,15.49,"Republican"
"199","Rockwall County",16412,30.45,36726,68.15,753,1.4,2.5,3.2,18.5,22.5,9.4,27.9,16,0.4127,121303,154691,329.47,335.78,107819,19.07,65.11,7.59,0.44,3.07,0.07,0.32,4.34,50.06,12.83,22.71,6.03,8.37,"Republican"
"200","Runnels County",552,12.52,3807,86.35,50,1.13,9.2,7.9,35.8,22.1,6.7,13,5.3,0.4325,55424,75022,2722.26,3.62,9900,33.88,61.23,1.33,0.39,0.24,0.06,0.15,2.71,33,17.6,17.31,14.73,17.37,"Republican"
"201","Rusk County",4629,21.66,16534,77.38,205,0.96,5,10.9,33,25.9,9.4,10.4,5.4,0.4569,61661,84856,2393.66,22.04,52214,18.35,61.33,15.78,0.37,0.44,0.03,0.31,3.38,30,16,19.42,13.88,20.7,"Republican"
"202","Sabine County",669,12.19,4784,87.19,34,0.62,4.2,8.9,35.6,24.3,9.1,9.5,8.4,0.5205,47061,73675,1273.52,7.84,9894,3.97,83.96,7.42,0.52,0.53,0,0.35,3.25,24.99,22.27,22.93,14.19,15.63,"Republican"
"203","San Augustine County",980,24.49,3007,75.14,15,0.37,4.9,12.8,45.1,21,3.5,7.5,5.3,0.483,45888,59266,1374.4,5.76,7918,8.07,66.56,22.33,0.24,0.45,0,0,2.35,24.16,16.66,21.39,13.81,23.97,"Republican"
"204","San Jacinto County",2337,18.49,10161,80.4,140,1.11,5.8,8.6,39.7,24.2,5.6,8.9,7.1,0.4475,54839,76309,1474.33,18.77,27402,17.6,69.96,7.6,0.45,0.31,0.05,0.27,3.76,29.03,20.27,16.01,14.57,20.12,"Republican"
"205","San Patricio County",8988,34.72,16516,63.8,384,1.48,8.2,9.5,33.2,23.8,7.7,11.9,5.7,0.462,63842,85477,1795.69,38.39,68755,55.59,38.71,1.45,0.29,1.23,0.1,0.33,2.32,32.63,20.08,18.01,12.36,16.92,"Republican"
"206","San Saba County",287,11.03,2308,88.7,7,0.27,6.2,8,39.5,22.6,4.3,14,5.4,0.4248,54087,71975,2940.45,1.97,5730,30.52,64.4,1.85,0.51,0.28,0.02,0.17,2.25,29.42,23.4,17.42,12.52,17.25,"Republican"
"207","Schleicher County",211,18.21,940,81.1,8,0.69,9.8,8.2,29.7,32.7,6,9.8,3.7,0.4221,53774,70578,3394.55,0.73,2451,52.02,44.96,0.61,0.16,0.29,0.08,0.41,1.47,30.62,9.21,21.32,21.51,17.34,"Republican"
"208","Scurry County",818,13.94,4983,84.9,68,1.16,7.9,7.7,32.9,24.7,8.3,13.5,5,0.4213,58932,82991,2345.09,7.2,16932,42.16,51.01,3.54,0.35,0.48,0.03,0.16,2.26,24.74,20.92,21.31,18.47,14.57,"Republican"
"209","Shackelford County",130,7.99,1484,91.15,14,0.86,0.5,6,23.8,29.4,7.9,26.3,6.1,0.4393,60924,76415,2367.99,1.32,3105,11.69,84.12,0.64,0.19,0.45,0,0.06,2.83,30.78,15.32,29.31,14.66,9.93,"Republican"
"210","Shelby County",2068,20.51,7975,79.09,41,0.41,8.2,10.1,36.9,25.2,5.7,10,3.9,0.4556,49231,69370,2060.57,11.72,24022,19.5,60.01,15.84,0.21,1.52,0.06,0.2,2.66,28.11,18.81,18.07,13.59,21.41,"Republican"
"211","Sherman County",91,9.18,886,89.4,14,1.41,13.7,14.2,23.2,21.5,5.6,16.7,5.1,0.5605,66169,116652,2390.2,1.01,2782,47.27,48.96,0.36,0.18,0.07,0,0.22,2.95,30.4,13.52,18.17,22.91,14.99,"Republican"
"212","Smith County",29615,29.59,69080,69.03,1380,1.38,5.5,6.9,24.9,25.1,10.3,18.1,9.3,0.4571,69053,92062,2386.6,98.33,233479,20.25,57.59,16.28,0.32,1.77,0.03,0.3,3.47,33.84,17.84,22.49,9.65,16.19,"Republican"
"213","Somervell County",768,15.52,4105,82.98,74,1.5,2.3,4.9,32.1,26,6.1,21.3,7.3,0.4073,87899,97659,482.27,19.36,9205,18.33,76.17,0.42,0.53,0.6,0,0.36,3.6,35.82,13.38,21.88,15.31,13.6,"Republican"
"214","Starr County",9123,52.06,8247,47.06,155,0.88,26,13.1,26.6,17.1,4.5,9.2,3.6,0.5148,35979,53913,3168.02,20.74,65920,97.68,1.78,0.05,0.01,0.15,0,0.15,0.18,25.07,27.67,15.42,15.86,15.98,"Democrat"
"215","Stephens County",397,10.45,3385,89.08,18,0.47,6.7,10.1,34.6,23.9,6.3,13.9,4.5,0.5006,44712,68486,2322.5,3.99,9101,24.22,68.74,2.6,0.4,0.66,0.01,0.3,3.08,34.07,18.87,18.17,10.94,17.94,"Republican"
"216","Sterling County",51,7.98,584,91.39,4,0.63,2.3,7.6,42.1,21.5,3.2,14.6,8.8,0.3683,63558,98668,2391.72,0.58,1372,32.73,63.19,0.22,0.29,0.07,0.15,0.15,3.21,33.22,8.87,28,11.3,18.61,"Republican"
"217","Stonewall County",116,15.76,615,83.56,5,0.68,9,10.1,44.1,20.2,1.6,7.4,7.7,0.4271,66591,75657,2373.24,0.56,1245,18.15,76.95,1.45,0.24,0.4,0,0.16,2.65,19.19,18.89,22.34,14.09,25.49,"Republican"
"218","Sutton County",322,20.68,1222,78.48,13,0.83,10.2,9.8,37.2,23.7,3.7,7.9,7.4,0.4113,56778,69544,3765.67,0.89,3372,62.07,35.59,0.18,0.15,0.18,0,0.42,1.42,30.91,15.24,26.78,15.73,11.33,"Republican"
"219","Swisher County",478,20.3,1845,78.34,32,1.36,13.6,8.5,34.2,16,8.4,15.7,3.6,0.4799,40290,55431,2305.5,3.03,6971,45.14,46.18,5.84,0.26,0.14,0,0.11,2.32,38.79,23.99,11.96,15.07,10.19,"Republican"
"220","Tarrant County",411567,49.31,409741,49.09,13389,1.6,6.1,6.8,23.8,21.4,7.9,22.4,11.5,0.4565,78872,107434,2240.99,943.27,2110640,29.42,42.87,16.99,0.33,6.05,0.2,0.39,3.74,38.74,14.98,22.35,8.75,15.18,"Democrat"
"221","Taylor County",14588,26.47,39547,71.76,977,1.77,3.9,6.1,29.5,22.8,9,18.4,10.3,0.4463,61806,82300,2371.23,60.32,143208,24.27,60.97,7.67,0.41,1.97,0.11,0.33,4.28,35.95,19.61,21.91,10.6,11.93,"Republican"
"222","Terrell County",119,25.98,334,72.93,5,1.09,2.2,4,39.6,21.7,2.9,19.9,9.6,0.3844,52813,66441,6107.08,0.14,760,48.68,46.32,1.05,0,0.66,0,0.26,3.03,32.97,15.38,17.58,14.56,19.51,"Republican"
"223","Terry County",757,20.96,2812,77.85,43,1.19,14.7,9.3,33.8,24.9,6.3,8.1,2.9,0.47,42694,67747,2302.11,5.13,11831,55.52,38.87,3.29,0.25,0.31,0,0.2,1.56,24.32,22.54,18.47,19.91,14.76,"Republican"
"224","Throckmorton County",82,9.12,806,89.66,11,1.22,6.2,3.6,38.9,25.1,6,15.1,5.1,0.4228,55221,66570,2363.5,0.61,1440,10.07,86.67,0.07,0.21,0.21,0,0,2.78,35.56,15.53,17.98,14.71,16.21,"Republican"
"225","Titus County",2856,27.1,7570,71.83,113,1.07,12.6,9.8,37.3,17.3,7.6,10.8,4.6,0.4358,57634,72023,1052.32,29.74,31247,43.78,42.92,9.23,0.32,0.84,0.01,0.23,2.67,25.18,18.34,18.57,10.1,27.81,"Republican"
"226","Tom Green County",12239,27.07,32313,71.47,658,1.46,6.2,7.2,28.4,26.2,7.4,16.4,8.3,0.4476,67215,86111,3942.79,30.25,120003,39.22,51.99,3.34,0.3,1.42,0.12,0.31,3.3,33.42,17.49,23.96,12.24,12.9,"Republican"
"227","Travis County",435860,71.41,161337,26.43,13152,2.15,5.3,3.8,15,16.5,5.6,33.4,20.3,0.4772,92731,130157,2575.21,500.56,1290188,32.64,47.5,7.46,0.21,7.72,0.06,0.5,3.9,54.36,13.07,18.95,6.28,7.34,"Democrat"
"228","Trinity County",1323,19.07,5579,80.41,36,0.52,5.3,8.3,38.9,26,6.6,11.3,3.5,0.4586,51165,71207,1796.92,7.64,13602,9.66,77.44,7.98,0.21,0.22,0.03,0.24,4.21,35.05,19.52,18.76,12.36,14.31,"Republican"
"229","Tyler County",1403,14.52,8194,84.82,63,0.65,5.8,11.6,41.6,22.9,4.9,8.7,4.4,0.5181,50898,80667,2394.16,8.34,19798,7.68,77.29,10.3,0.56,0.49,0.02,0.24,3.42,30.06,18.26,19.58,16.37,15.73,"Republican"
"230","Upshur County",2877,15.23,15809,83.7,201,1.06,4.3,9.2,33.1,26.6,9.9,12.2,4.8,0.4544,60456,80248,1509.91,27.33,40892,9.75,76.51,7.11,0.64,0.43,0.02,0.37,5.17,30.41,14.25,23.97,15.6,15.78,"Republican"
"231","Upton County",170,12.43,1178,86.11,20,1.46,11.5,9.5,43.8,18.9,6.6,6.7,2.9,0.4299,55284,69047,3215.01,1.02,3308,54.32,39.84,1.78,0.33,0.12,0,0.09,3.51,32.65,16.18,17.13,22.21,11.84,"Republican"
"232","Uvalde County",4073,39.38,6174,59.7,95,0.92,12.4,11.5,27.1,21.2,8.7,14.2,4.9,0.5044,55000,72307,4019.46,6.18,24564,70.5,26.92,0.44,0.1,0.64,0.02,0.27,1.11,28.95,23.92,20.89,16.97,9.27,"Republican"
"233","Val Verde County",6771,44.34,8284,54.24,217,1.42,16.1,10.4,27.4,17.4,8.5,12.2,8,0.4389,57250,71313,8144.86,5.86,47586,80.29,16.47,1.13,0.12,0.74,0.07,0.18,1,25.96,23.65,23.57,11.7,15.11,"Republican"
"234","Van Zandt County",3516,13.53,22270,85.67,208,0.8,4.2,9.8,33.3,27.4,8.3,12.2,4.9,0.4676,62334,85932,2182.25,27.52,59541,11.88,80.59,2.55,0.55,0.46,0.05,0.22,3.7,31.19,17.5,21.79,16.13,13.39,"Republican"
"235","Victoria County",10380,30.36,23358,68.32,450,1.32,6.7,9.5,30.3,24.6,9.7,13.9,5.3,0.4424,66308,83950,2284.59,39.92,91319,47.01,43.07,5.73,0.23,1.52,0.04,0.25,2.14,30.43,18.87,22.33,12.78,15.59,"Republican"
"236","Walker County",7884,33.39,15375,65.12,353,1.5,5.9,8.8,38.2,21.2,6.5,12.5,6.8,0.4672,47193,65076,2031.13,38,76400,21.7,52.12,21.44,0.33,1.47,0.05,0.42,2.46,26.08,28.62,18.64,10.38,16.29,"Republican"
"237","Waller County",8191,36.03,14260,62.73,283,1.24,6.7,6.6,31.3,25.6,4.9,18.3,6.6,0.4633,71643,102547,1329.43,43.22,56794,32.55,41.37,21.31,0.37,1.38,0.02,0.55,2.45,35.64,17.08,22.81,11.84,12.63,"Republican"
"238","Ward County",764,18.82,3241,79.83,55,1.35,10.1,9.6,37.7,25.5,5.7,8.6,2.7,0.4249,70771,89224,2164.2,5.24,11644,54.32,38.7,3.56,0.35,0.59,0.02,0.19,2.27,27.06,15.52,21.11,15.69,20.62,"Republican"
"239","Washington County",4261,24.46,12959,74.4,198,1.14,4.1,6.2,31.5,21.7,7.6,19.1,9.7,0.4888,70043,96797,1564.86,22.88,35805,17.94,61.51,15.51,0.21,1.53,0.04,0.39,2.87,36.5,17.11,19.56,12.49,14.34,"Republican"
"240","Webb County",41820,61.14,25898,37.86,679,0.99,15.9,15,21.9,18.8,7.8,14.7,5.9,0.4614,59984,78814,8706.19,30.7,267114,95.22,3.55,0.3,0.05,0.49,0.01,0.17,0.21,26.01,22.4,24.91,10.67,16.02,"Democrat"
"241","Wharton County",4694,28.01,11926,71.15,141,0.84,8.4,10.3,31.1,21.6,10.4,12.9,5.2,0.453,59712,78675,2813.1,14.79,41570,40.82,43.61,13.16,0.17,0.39,0,0.25,1.6,27.09,18.41,20.64,15.99,17.87,"Republican"
"242","Wheeler County",168,7.19,2159,92.38,10,0.43,6.9,7.3,39.7,23.4,5.5,14.5,2.7,0.4338,58158,75121,2368.63,2.1,4990,24.59,69.52,1.62,0.66,0.48,0.04,0.24,2.85,26.65,22.78,20.89,21.06,8.62,"Republican"
"243","Wichita County",13161,28.59,32069,69.67,800,1.74,5.5,7,31.8,23.5,8.3,15.1,8.7,0.4596,58862,78508,1625.46,79.72,129350,19.95,61.61,10.34,0.77,2.05,0.11,0.37,4.81,33.21,20.37,20.51,9.7,16.21,"Republican"
"244","Wilbarger County",956,21.13,3524,77.9,44,0.97,8.7,12.9,33.2,22.7,6,12.7,4,0.4089,50769,62488,2514.74,5.09,12887,28.97,54.41,7.86,0.74,4.39,0,0.25,3.37,25.91,27.15,19.33,9.52,18.09,"Republican"
"245","Willacy County",3108,56.01,2441,43.99,0,0,17.1,15.5,37,14.6,5.3,7.7,2.8,0.4728,42839,59226,1529.68,13.28,20164,87.34,8.95,2.21,0.23,0.79,0.01,0.17,0.3,20.31,26.25,18.27,19.38,15.78,"Democrat"
"246","Williamson County",143795,49.7,139729,48.3,5788,2,2.8,3.1,18.1,20.8,8.9,29.9,16.4,0.4031,102851,126077,2890.01,213.63,609017,24.15,55.24,6.33,0.27,8.86,0.1,0.51,4.53,50.46,12.81,21.95,6.51,8.27,"Democrat"
"247","Wilson County",6350,25.39,18463,73.81,200,0.8,4.7,4.5,32.7,23.6,9.1,18.1,7.3,0.4458,89708,116008,2081.66,24.2,49753,38.65,56.03,1.39,0.3,0.46,0.05,0.38,2.74,36.77,14.74,22.51,12.51,13.47,"Republican"
"248","Winkler County",358,16.84,1753,82.46,15,0.71,12.5,15.1,36.3,21.1,5.9,7.5,1.6,0.336,89155,91621,2178.88,3.48,7791,60.74,34.68,1.78,0.49,0.99,0,0.12,1.21,20.89,16.39,17.69,19.62,25.41,"Republican"
"249","Wise County",4973,15.37,27032,83.53,357,1.1,5.7,7.3,33.9,24.5,7.8,14.9,5.9,0.4112,85385,104830,2342.37,29.91,68632,19.95,73.57,0.96,0.69,0.54,0.02,0.25,4.02,31.65,16.4,22.11,12.1,17.73,"Republican"
"250","Wood County",3509,15.4,19049,83.63,221,0.97,5.3,8.6,31.7,26.3,7,12.8,8.3,0.47,61748,83609,1671.17,27.13,44843,10.91,80.07,3.7,0.51,0.51,0,0.31,3.99,31.67,13.42,20.5,17.68,16.73,"Republican"
"251","Yoakum County",420,15.96,2174,82.63,37,1.41,19.2,12.3,28.1,25.6,5.1,8.6,1.1,0.4244,80317,98866,2071.25,3.68,7694,64.57,32.34,0.71,0.29,0.6,0,0.19,1.3,29.81,12.72,12.66,31.4,13.42,"Republican"
"252","Young County",1034,12.55,7110,86.3,95,1.15,5.2,6.7,32.8,24.7,8,16.1,6.4,0.445,65565,83470,2368.54,7.56,17867,19.63,75.05,0.97,0.44,0.48,0,0.21,3.21,27.42,20.25,19.73,16.94,15.66,"Republican"
"253","Zapata County",1826,47.13,2033,52.48,15,0.39,19.7,14.7,29.6,18.4,6.2,9.1,2.2,0.5195,35061,56419,2585.88,5.37,13889,93.59,5.73,0.06,0.05,0.12,0,0.12,0.33,23.08,19.41,19.53,21.6,16.37,"Republican"
"254","Zavala County",2864,65.4,1490,34.03,25,0.57,16.5,11,28.2,21.8,8.8,10.1,3.7,0.3978,49243,60004,3360.27,2.89,9670,92.49,5.92,0.69,0.22,0.2,0.01,0.03,0.44,29.18,17.07,16.09,21.44,16.22,"Democrat"
